rank,title,year,rating
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.1
3,The Godfather: Part II,1974,9.0
4,The Dark Knight,2008,9.0
5,12 Angry Men,1957,8.9
6,Schindler's List,1993,8.9
7,The Lord of the Rings: The Return of the King,2003,8.9
8,Pulp Fiction,1994,8.8
9,"The Good, the Bad and the Ugly",1966,8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
11,Fight Club,1999,8.8
12,Forrest Gump,1994,8.7
13,Inception,2010,8.7
14,The Lord of the Rings: The Two Towers,2002,8.7
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.6
17,Goodfellas,1990,8.6
18,One Flew Over the Cuckoo's Nest,1975,8.6
19,Seven Samurai,1954,8.6
20,Se7en,1995,8.6
21,The Silence of the Lambs,1991,8.6
22,City of God,2002,8.6
23,Life Is Beautiful,1997,8.6
24,It's a Wonderful Life,1946,8.6
25,Star Wars: Episode IV - A New Hope,1977,8.6
26,Saving Private Ryan,1998,8.5
27,Interstellar,2014,8.5
28,Spirited Away,2001,8.5
29,The Green Mile,1999,8.5
30,Parasite,2019,8.5
31,Léon: The Professional,1994,8.5
32,Hara-Kiri,1962,8.5
33,The Pianist,2002,8.5
34,The Usual Suspects,1995,8.5
35,Terminator 2: Judgment Day,1991,8.5
36,Back to the Future,1985,8.5
37,Psycho,1960,8.5
38,The Lion King,1994,8.5
39,Modern Times,1936,8.5
40,American History X,1998,8.5
41,City Lights,1931,8.5
42,Grave of the Fireflies,1988,8.5
43,Whiplash,2014,8.5
44,Gladiator,2000,8.5
45,The Departed,2006,8.5
46,The Intouchables,2011,8.5
47,The Prestige,2006,8.5
48,Casablanca,1942,8.4
49,Once Upon a Time in the West,1968,8.4
50,Rear Window,1954,8.4
51,Cinema Paradiso,1988,8.4
52,Alien,1979,8.4
53,Apocalypse Now,1979,8.4
54,Memento,2000,8.4
55,Indiana Jones and the Raiders of the Lost Ark,1981,8.4
56,The Great Dictator,1940,8.4
57,The Lives of Others,2006,8.4
58,Django Unchained,2012,8.4
59,Paths of Glory,1957,8.4
60,,1950,8.4
61,WALL·E,2008,8.4
62,Avengers: Infinity War,2018,8.4
63,The Shining,1980,8.4
64,Witness for the Prosecution,1957,8.4
65,Spider-Man: Into the Spider-Verse,2018,8.4
66,Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,8.4
67,Joker,2019,8.3
68,Princess Mononoke,1997,8.3
69,Oldboy,2003,8.3
70,,2016,8.3
71,The Dark Knight Rises,2012,8.3
72,Once Upon a Time in America,1984,8.3
73,Coco,2017,8.3
74,Aliens,1986,8.3
75,Capharnaüm,2018,8.3
76,Avengers: Endgame,2019,8.3
77,Das Boot,1981,8.3
78,Hamilton,2020,8.3
79,High and Low,1963,8.3
80,American Beauty,1999,8.3
81,Toy Story,1995,8.3
82,3 Idiots,2009,8.3
83,Amadeus,1984,8.3
84,Braveheart,1995,8.3
85,Inglourious Basterds,2009,8.3
86,Good Will Hunting,1997,8.3
87,Star Wars: Episode VI - Return of the Jedi,1983,8.3
88,2001: A Space Odyssey,1968,8.3
89,Reservoir Dogs,1992,8.3
90,M,1931,8.3
91,Like Stars on Earth,2007,8.3
92,Vertigo,1958,8.3
93,Citizen Kane,1941,8.3
94,Come and See,1985,8.3
95,The Hunt,2012,8.3
96,Requiem for a Dream,2000,8.3
97,Singin' in the Rain,1952,8.3
98,North by Northwest,1959,8.3
99,Eternal Sunshine of the Spotless Mind,2004,8.3
100,Bicycle Thieves,1948,8.3
101,Ikiru,1952,8.3
102,Dune,2021,8.3
103,Pather Panchali,1955,8.3
104,Lawrence of Arabia,1962,8.2
105,The Kid,1921,8.2
106,Full Metal Jacket,1987,8.2
107,Dangal,2016,8.2
108,The Father,2020,8.2
109,The Apartment,1960,8.2
110,A Clockwork Orange,1971,8.2
111,Metropolis,1927,8.2
112,Taxi Driver,1976,8.2
113,Incendies,2010,8.2
114,Double Indemnity,1944,8.2
115,The Sting,1973,8.2
116,A Separation,2011,8.2
117,Scarface,1983,8.2
118,1917,2019,8.2
119,Snatch,2000,8.2
120,Amélie,2001,8.2
121,Toy Story 3,2010,8.2
122,To Kill a Mockingbird,1962,8.2
123,For a Few Dollars More,1965,8.2
124,Up,2009,8.2
125,Indiana Jones and the Last Crusade,1989,8.2
126,Confidential ,1997,8.2
127,Heat,1995,8.2
128,Yojimbo,1961,8.2
129,Rashomon,1950,8.2
130,Ran,1985,8.2
131,Die Hard,1988,8.2
132,Green Book,2018,8.2
133,Downfall,2004,8.2
134,Monty Python and the Holy Grail,1975,8.2
135,All About Eve,1950,8.2
136,Some Like It Hot,1959,8.2
137,Batman Begins,2005,8.2
138,Unforgiven,1992,8.2
139,Children of Heaven,1997,8.2
140,Howl's Moving Castle,2004,8.2
141,The Wolf of Wall Street,2013,8.2
142,Judgment at Nuremberg,1961,8.2
143,The Great Escape,1963,8.2
144,Casino,1995,8.2
145,There Will Be Blood,2007,8.2
146,The Treasure of the Sierra Madre,1948,8.2
147,Pan's Labyrinth,2006,8.1
148,A Beautiful Mind,2001,8.1
149,The Secret in Their Eyes,2009,8.1
150,Raging Bull,1980,8.1
151,My Neighbor Totoro,1988,8.1
152,Chinatown,1974,8.1
153,"Lock, Stock and Two Smoking Barrels",1998,8.1
154,The Gold Rush,1925,8.1
155,Shutter Island,2010,8.1
156,No Country for Old Men,2007,8.1
157,Dial M for Murder,1954,8.1
158,The Seventh Seal,1957,8.1
159,"Three Billboards Outside Ebbing, Missouri",2017,8.1
160,The Elephant Man,1980,8.1
161,The Thing,1982,8.1
162,The Sixth Sense,1999,8.1
163,Klaus,2019,8.1
164,The Third Man,1949,8.1
165,Wild Strawberries,1957,8.1
166,V for Vendetta,2005,8.1
167,Jurassic Park,1993,8.1
168,The Truman Show,1998,8.1
169,Inside Out,2015,8.1
170,Memories of Murder,2003,8.1
171,Blade Runner,1982,8.1
172,Trainspotting,1996,8.1
173,The Bridge on the River Kwai,1957,8.1
174,Fargo,1996,8.1
175,Warrior,2011,8.1
176,Finding Nemo,2003,8.1
177,1 ,2003,8.1
178,Gone with the Wind,1939,8.1
179,Z,1969,8.1
180,Tokyo Story,1953,8.1
181,My Father and My Son,2005,8.1
182,On the Waterfront,1954,8.1
183,Stalker,1979,8.1
184,Wild Tales,2014,8.1
185,,1924,8.1
186,The General,1926,8.1
187,The Deer Hunter,1978,8.1
188,Gran Torino,2008,8.1
189,Persona,1966,8.1
190,The Grand Budapest Hotel,2014,8.1
191,Prisoners,2013,8.1
192,Before Sunrise,1995,8.1
193,Mary and Max,2009,8.1
194,Smith Goes to Washington ,1939,8.1
195,Room,2015,8.1
196,In the Name of the Father,1993,8.1
197,Catch Me If You Can,2002,8.1
198,Barry Lyndon,1975,8.1
199,Gone Girl,2014,8.1
200,Hacksaw Ridge,2016,8.1
201,Andhadhun,2018,8.1
202,The Passion of Joan of Arc,1928,8.1
203,To Be or Not to Be,1942,8.1
204,Ford v Ferrari,2019,8.1
205,12 Years a Slave,2013,8.1
206,The Big Lebowski,1998,8.1
207,How to Train Your Dragon,2010,8.1
208,Mad Max: Fury Road,2015,8.1
209,Dead Poets Society,1989,8.1
210,Autumn Sonata,1978,8.1
211,Ben-Hur,1959,8.1
212,Million Dollar Baby,2004,8.1
213,The Wages of Fear,1953,8.1
214,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
215,Stand by Me,1986,8.1
216,The Handmaiden,2016,8.1
217,Network,1976,8.1
218,Logan,2017,8.1
219,Cool Hand Luke,1967,8.1
220,The 400 Blows,1959,8.1
221,Gangs of Wasseypur,2012,8.0
222,Hachi: A Dog's Tale,2009,8.0
223,La Haine,1995,8.0
224,Platoon,1986,8.0
225,The Bandit,1996,8.0
226,Spotlight,2015,8.0
227,A Silent Voice: The Movie,2016,8.0
228,Monty Python's Life of Brian,1979,8.0
229,Rebecca,1940,8.0
230,,2001,8.0
231,Hotel Rwanda,2004,8.0
232,In the Mood for Love,2000,8.0
233,Rush,2013,8.0
234,Into the Wild,2007,8.0
235,Love's a Bitch,2000,8.0
236,Rocky,1976,8.0
237,Andrei Rublev,1966,8.0
238,Nausicaä of the Valley of the Wind,1984,8.0
239,It Happened One Night,1934,8.0
240,Neon Genesis Evangelion: The End of Evangelion,1997,8.0
241,Before Sunset,2004,8.0
242,The Battle of Algiers,1966,8.0
243,Fanny and Alexander,1982,8.0
244,Three Colors: Red,1994,8.0
245,"Paris, Texas",1984,8.0
246,Demon Slayer: Mugen Train,2020,8.0
247,The Princess Bride,1987,8.0
248,Nights of Cabiria,1957,8.0
249,Rififi,1955,8.0
250,Raatchasan,2018,8.0
